column,category,dtype,null_count,null_pct
gdelt_india_relevant_count,gdelt_feature,float64,0,0.0
gdelt_maritime_relevant_count,gdelt_feature,float64,0,0.0
gdelt_high_intensity_count,gdelt_feature,float64,0,0.0
gdelt_med_intensity_count,gdelt_feature,float64,0,0.0
gdelt_low_intensity_count,gdelt_feature,float64,0,0.0
gdelt_mean_intensity,gdelt_feature,float64,0,0.0
gdelt_total_mentions,gdelt_feature,float64,0,0.0
gdelt_total_sources,gdelt_feature,float64,0,0.0
gdelt_total_articles,gdelt_feature,float64,0,0.0
gdelt_mean_media_attention,gdelt_feature,float64,0,0.0
gdelt_max_media_attention,gdelt_feature,float64,0,0.0
gdelt_mean_tone,gdelt_feature,float64,0,0.0
gdelt_min_tone,gdelt_feature,float64,0,0.0
gdelt_mean_tone_negativity,gdelt_feature,float64,0,0.0
gdelt_max_tone_negativity,gdelt_feature,float64,0,0.0
gdelt_mean_goldstein,gdelt_feature,float64,0,0.0
gdelt_min_goldstein,gdelt_feature,float64,0,0.0
gdelt_mean_goldstein_magnitude,gdelt_feature,float64,0,0.0
gdelt_max_goldstein_magnitude,gdelt_feature,float64,0,0.0
gdelt_event_count_sum_3d,gdelt_feature,float64,0,0.0
gdelt_geo_relevant_count_sum_3d,gdelt_feature,float64,0,0.0
gdelt_india_relevant_count_sum_3d,gdelt_feature,float64,0,0.0
gdelt_high_intensity_count_sum_3d,gdelt_feature,float64,0,0.0
gdelt_mean_intensity_ma_3d,gdelt_feature,float64,0,0.0
gdelt_total_mentions_sum_3d,gdelt_feature,float64,0,0.0
gdelt_mean_tone_negativity_ma_3d,gdelt_feature,float64,0,0.0
gdelt_mean_goldstein_magnitude_ma_3d,gdelt_feature,float64,0,0.0
gdelt_event_count_sum_7d,gdelt_feature,float64,0,0.0
gdelt_geo_relevant_count_sum_7d,gdelt_feature,float64,0,0.0
gdelt_india_relevant_count_sum_7d,gdelt_feature,float64,0,0.0
gdelt_high_intensity_count_sum_7d,gdelt_feature,float64,0,0.0
gdelt_mean_intensity_ma_7d,gdelt_feature,float64,0,0.0
gdelt_total_mentions_sum_7d,gdelt_feature,float64,0,0.0
gdelt_mean_tone_negativity_ma_7d,gdelt_feature,float64,0,0.0
gdelt_mean_goldstein_magnitude_ma_7d,gdelt_feature,float64,0,0.0
gdelt_event_count_sum_14d,gdelt_feature,float64,0,0.0
gdelt_geo_relevant_count_sum_14d,gdelt_feature,float64,0,0.0
gdelt_india_relevant_count_sum_14d,gdelt_feature,float64,0,0.0
gdelt_high_intensity_count_sum_14d,gdelt_feature,float64,0,0.0
gdelt_mean_intensity_ma_14d,gdelt_feature,float64,0,0.0
gdelt_total_mentions_sum_14d,gdelt_feature,float64,0,0.0
gdelt_mean_tone_negativity_ma_14d,gdelt_feature,float64,0,0.0
gdelt_mean_goldstein_magnitude_ma_14d,gdelt_feature,float64,0,0.0
gdelt_event_count_sum_30d,gdelt_feature,float64,0,0.0
gdelt_geo_relevant_count_sum_30d,gdelt_feature,float64,0,0.0
gdelt_india_relevant_count_sum_30d,gdelt_feature,float64,0,0.0
gdelt_high_intensity_count_sum_30d,gdelt_feature,float64,0,0.0
