target,horizon,model,mean_sMAPE,std_sMAPE,best_sMAPE,worst_sMAPE,mean_R2,std_R2,mean_direction,std_direction,mean_vs_persistence_improvement,stability_class
supramax,14d,Ridge_Residual_Hybrid,8.67,2.16,6.25,11.86,-0.549,2.5744,87.1%,9.25,3.64,ROBUST
supramax,14d,Validation_Weighted_Ensemble,7.24,2.22,5.26,11.32,0.8291,0.088,92.5%,9.15,5.08,ROBUST
supramax,14d,XGBoost,7.73,1.6,5.76,9.86,0.7772,0.1151,98.1%,1.08,4.59,ROBUST
supramax,1d,Naive_Mean_Change,1.37,0.3,0.96,1.83,0.9917,0.005,49.6%,8.65,-0.0,UNDERFIT / OVERFIT_RISK
supramax,1d,Neural_Net,1.94,0.88,0.98,3.14,0.7965,0.3829,64.9%,17.78,-0.58,UNDERFIT / OVERFIT_RISK
supramax,1d,Persistence,1.36,0.3,0.95,1.83,0.9917,0.005,N/A,0.0,0.0,REGIME_DEPENDENT
supramax,1d,Ridge,1.09,0.33,0.7,1.52,0.9915,0.0067,82.5%,11.98,0.27,REGIME_DEPENDENT
supramax,1d,Ridge_Residual_Hybrid,1.07,0.26,0.7,1.39,0.9913,0.0065,88.6%,10.2,0.29,REGIME_DEPENDENT
supramax,1d,Validation_Weighted_Ensemble,0.87,0.28,0.52,1.22,0.9966,0.0013,91.0%,14.6,0.49,REGIME_DEPENDENT
supramax,1d,XGBoost,0.88,0.27,0.53,1.22,0.994,0.006,91.7%,14.88,0.49,REGIME_DEPENDENT
supramax,30d,Naive_Mean_Change,18.41,4.64,11.79,23.16,-0.0084,0.4042,50.3%,14.11,-0.07,REGIME_DEPENDENT
supramax,30d,Neural_Net,23.42,15.64,9.67,53.47,-27.2667,52.8111,67.7%,15.0,-5.08,REGIME_DEPENDENT
supramax,30d,Persistence,18.34,4.6,11.53,22.82,-0.0043,0.4195,N/A,0.0,0.0,REGIME_DEPENDENT
supramax,30d,Ridge,14.52,5.84,8.26,24.2,-0.5079,1.5534,77.7%,16.45,3.82,REGIME_DEPENDENT
supramax,30d,Ridge_Residual_Hybrid,14.31,5.64,7.9,23.3,-0.4778,1.5708,78.7%,16.71,4.03,REGIME_DEPENDENT
supramax,30d,Validation_Weighted_Ensemble,13.98,9.48,6.79,32.65,0.3237,0.7905,85.7%,20.77,4.36,REGIME_DEPENDENT
supramax,30d,XGBoost,13.27,4.59,8.17,21.21,0.2171,0.6739,95.9%,4.69,5.07,REGIME_DEPENDENT
supramax,7d,Naive_Mean_Change,7.71,1.62,5.18,9.81,0.7948,0.0936,49.5%,8.63,-0.01,UNDERFIT / OVERFIT_RISK
supramax,7d,Neural_Net,7.73,2.73,4.17,11.55,-6.8032,15.1744,72.5%,16.67,-0.03,UNDERFIT / OVERFIT_RISK
supramax,7d,Persistence,7.7,1.63,5.11,9.82,0.7958,0.0925,N/A,0.0,0.0,REGIME_DEPENDENT
supramax,7d,Ridge,5.26,1.29,3.63,6.47,0.1738,1.4379,83.3%,7.88,2.44,ROBUST
supramax,7d,Ridge_Residual_Hybrid,5.14,1.18,3.7,6.29,0.1714,1.4438,85.5%,6.4,2.56,ROBUST
supramax,7d,Validation_Weighted_Ensemble,4.38,1.16,2.92,5.73,0.9296,0.0296,96.9%,1.22,3.33,ROBUST
supramax,7d,XGBoost,4.77,1.14,3.44,6.23,0.9139,0.0412,98.7%,0.43,2.93,ROBUST
